2025-06-05 20:10:14 | INFO     | __main__             | 🧪 Test de l'Algorithme HFT Lead-Lag
2025-06-05 20:10:14 | INFO     | __main__             | ========================================
2025-06-05 20:10:14 | INFO     | __main__             | ✅ Configuration validée
2025-06-05 20:10:14 | ERROR    | __main__             | ❌ Erreur durant le test: OptimizedEngineConfig.__init__() got an unexpected keyword argument 'commission_rate'
2025-06-05 20:10:48 | INFO     | __main__             | 🧪 Test de l'Algorithme HFT Lead-Lag
2025-06-05 20:10:48 | INFO     | __main__             | ========================================
2025-06-05 20:10:48 | INFO     | __main__             | ✅ Configuration validée
2025-06-05 20:10:48 | INFO     | __main__             | ✅ Fichiers de données trouvés
2025-06-05 20:10:48 | INFO     | __main__             | ✅ Moteur créé
2025-06-05 20:10:48 | INFO     | strategies.base_strategy | 🎯 Strategy OptimizedLeadLag initialized
2025-06-05 20:10:48 | INFO     | core.optimized_engine | ✅ Added strategy: OptimizedLeadLagStrategy
2025-06-05 20:10:48 | INFO     | __main__             | ✅ Stratégie ajoutée
2025-06-05 20:10:48 | INFO     | __main__             | 🔄 Test de préparation des données...
2025-06-05 20:10:48 | INFO     | __main__             | ✅ Test terminé avec succès!
2025-06-05 20:10:48 | INFO     | __main__             | 🚀 L'algorithme est prêt à être utilisé
2025-06-05 20:12:37 | INFO     | strategies.base_strategy | 🎯 Strategy OptimizedLeadLag initialized
2025-06-05 20:12:37 | INFO     | core.optimized_engine | ✅ Added strategy: OptimizedLeadLagStrategy
2025-06-05 20:12:45 | INFO     | strategies.base_strategy | 🎯 Strategy OptimizedLeadLag initialized
2025-06-05 20:12:45 | INFO     | core.optimized_engine | ✅ Added strategy: OptimizedLeadLagStrategy
2025-06-05 20:12:59 | INFO     | core.optimized_engine | 🔄 Preparing and caching data...
2025-06-05 20:17:55 | INFO     | core.optimized_engine | 🔄 Preparing and caching data...
2025-06-05 20:17:57 | INFO     | core.optimized_engine | 🔄 Preparing and caching data...
2025-06-05 20:18:09 | INFO     | strategies.base_strategy | 🎯 Strategy OptimizedLeadLag initialized
2025-06-05 20:18:09 | INFO     | core.optimized_engine | ✅ Added strategy: OptimizedLeadLagStrategy
2025-06-05 20:18:15 | INFO     | core.optimized_engine | 🔄 Preparing and caching data...
2025-06-05 20:22:14 | INFO     | strategies.base_strategy | 🎯 Strategy OptimizedLeadLag initialized
2025-06-05 20:22:14 | INFO     | core.optimized_engine | ✅ Added strategy: OptimizedLeadLagStrategy
2025-06-05 20:22:16 | INFO     | core.optimized_engine | 🔄 Preparing and caching data...
2025-06-05 20:22:16 | INFO     | data.streaming_data_handler | 🔄 Processing file: ETH_EUR.csv for symbol ETH
2025-06-05 20:22:20 | INFO     | data.streaming_data_handler |   Processed 100,000 rows for ETH_4a25fd7dc5f00c1639dfde83bf483c73.parquet...
2025-06-05 20:22:21 | INFO     | data.streaming_data_handler |   Processed 200,000 rows for ETH_4a25fd7dc5f00c1639dfde83bf483c73.parquet...
2025-06-05 20:22:21 | INFO     | data.streaming_data_handler |   Processed 300,000 rows for ETH_4a25fd7dc5f00c1639dfde83bf483c73.parquet...
